time,target_id,target_x,target_y,target_vx,target_vy,target_detected,target_last_known_x,target_last_known_y,target_last_known_vx,target_last_known_vy
8,2,80.56939697265625,30.586528778076172,1.1743799448013306,-3.8237195014953613,True,80.56939697265625,30.586528778076172,1.1743799448013306,-3.8237195014953613
9,0,71.71874237060547,30.025678634643555,-2.8115391731262207,2.84521484375,True,71.71874237060547,30.025678634643555,-2.8115391731262207,2.84521484375
9,1,57.275325775146484,68.02436065673828,3.0372941493988037,2.602853298187256,False,57.275325775146484,68.02436065673828,3.0372941493988037,2.602853298187256
9,2,81.7437744140625,26.76280975341797,1.174380898475647,-3.8237195014953613,True,81.7437744140625,26.76280975341797,1.174380898475647,-3.8237195014953613
10,0,68.9072036743164,32.87089538574219,-2.8115391731262207,2.84521484375,True,68.9072036743164,32.87089538574219,-2.8115391731262207,2.84521484375
10,1,60.312618255615234,70.62721252441406,3.0372941493988037,2.6028530597686768,False,60.312618255615234,70.62721252441406,3.0372941493988037,2.6028530597686768
10,2,82.91815948486328,22.939090728759766,1.1743828058242798,-3.823718786239624,True,82.91815948486328,22.939090728759766,1.1743828058242798,-3.823718786239624
11,0,66.09566497802734,35.71611022949219,-2.8115391731262207,2.84521484375,True,66.09566497802734,35.71611022949219,-2.8115391731262207,2.84521484375
11,1,63.349910736083984,73.23006439208984,3.0372941493988037,2.602853298187256,False,63.349910736083984,73.23006439208984,3.0372941493988037,2.602853298187256
11,2,83.521728515625,20.973899841308594,3.2685515880584717,-2.3057689666748047,True,83.521728515625,20.973899841308594,3.2685515880584717,-2.3057689666748047
12,0,63.28412628173828,38.56132507324219,-2.8115391731262207,2.84521484375,True,63.28412628173828,38.56132507324219,-2.8115391731262207,2.84521484375
12,1,66.38720703125,75.83291625976562,3.0372941493988037,2.6028530597686768,False,66.38720703125,75.83291625976562,3.0372941493988037,2.6028530597686768
12,2,81.08596801757812,24.146766662597656,-2.435758352279663,3.1728663444519043,True,81.08596801757812,24.146766662597656,-2.435758352279663,3.1728663444519043
