time,event,uav_id,area_id,target_id,detector_uav_id,tracker_uav_id,reason
244,tracking_update,,,2.0,,0.0,
244,tracking_update,,,0.0,,1.0,
245,tracking_update,,,2.0,,0.0,
245,tracking_update,,,0.0,,1.0,
246,tracking_update,,,2.0,,0.0,
246,tracking_update,,,0.0,,1.0,
247,tracking_update,,,2.0,,0.0,
247,tracking_update,,,0.0,,1.0,
247,tracking_update,,,1.0,,2.0,
248,tracking_update,,,2.0,,0.0,
248,tracking_update,,,0.0,,1.0,
248,tracking_update,,,1.0,,2.0,
249,tracking_update,,,2.0,,0.0,
249,tracking_update,,,0.0,,1.0,
249,tracking_update,,,1.0,,2.0,
