mode,episode,total_reward,steps,success,final_info
tracking,32,2.269086942076683,13,True,"{'detected': True, 'success': True, 'target_pos': [61.9855842590332, 62.24842834472656], 'target_vel': [3.016200542449951, -2.627267599105835], 'last_known_pos': [61.9855842590332, 62.24842834472656], 'last_known_vel': [3.016200542449951, -2.627267599105835]}"
tracking,33,5.377402115821839,258,True,"{'detected': True, 'success': True, 'target_pos': [63.97665786743164, 21.851741790771484], 'target_vel': [-0.7896851301193237, -3.9212751388549805], 'last_known_pos': [63.97665786743164, 21.851741790771484], 'last_known_vel': [-0.7896851301193237, -3.9212751388549805]}"
tracking,34,3.2018065100312225,206,True,"{'detected': True, 'success': True, 'target_pos': [38.27452087402344, 62.591941833496094], 'target_vel': [-3.3951163291931152, 2.114990472793579], 'last_known_pos': [38.27452087402344, 62.591941833496094], 'last_known_vel': [-3.3951163291931152, 2.114990472793579]}"
tracking,35,5.444182163175196,120,True,"{'detected': True, 'success': True, 'target_pos': [85.62541198730469, 73.66785430908203], 'target_vel': [3.905043840408325, 0.8663901686668396], 'last_known_pos': [85.62541198730469, 73.66785430908203], 'last_known_vel': [3.905043840408325, 0.8663901686668396]}"
tracking,36,4.267637076362967,42,True,"{'detected': True, 'success': True, 'target_pos': [40.83735275268555, 82.0960464477539], 'target_vel': [3.955761671066284, 0.5932537913322449], 'last_known_pos': [40.83735275268555, 82.0960464477539], 'last_known_vel': [3.955761671066284, 0.5932537913322449]}"
tracking,37,1.235476665198803,8,True,"{'detected': True, 'success': True, 'target_pos': [59.20180892944336, 25.643081665039062], 'target_vel': [3.708958625793457, 1.49787437915802], 'last_known_pos': [59.20180892944336, 25.643081665039062], 'last_known_vel': [3.708958625793457, 1.49787437915802]}"
tracking,38,4.108149854987859,102,True,"{'detected': True, 'success': True, 'target_pos': [46.285743713378906, 55.109657287597656], 'target_vel': [-3.0730090141296387, -2.560589075088501], 'last_known_pos': [46.285743713378906, 55.109657287597656], 'last_known_vel': [-3.0730090141296387, -2.560589075088501]}"
tracking,39,6.6164137023817755,289,True,"{'detected': True, 'success': True, 'target_pos': [64.08451843261719, 14.621413230895996], 'target_vel': [-1.9387561082839966, 3.498746156692505], 'last_known_pos': [64.08451843261719, 14.621413230895996], 'last_known_vel': [-1.9387561082839966, 3.498746156692505]}"
tracking,40,5.319641691293567,188,True,"{'detected': True, 'success': True, 'target_pos': [10.642850875854492, 28.845346450805664], 'target_vel': [-3.270559549331665, 2.30292010307312], 'last_known_pos': [10.642850875854492, 28.845346450805664], 'last_known_vel': [-3.270559549331665, 2.30292010307312]}"
tracking,41,2.593807937577367,14,True,"{'detected': True, 'success': True, 'target_pos': [23.837614059448242, 36.56291961669922], 'target_vel': [-3.5034663677215576, 1.9302133321762085], 'last_known_pos': [23.837614059448242, 36.56291961669922], 'last_known_vel': [-3.5034663677215576, 1.9302133321762085]}"
